Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
female,group B,master's degree,standard,none,single,sometimes,yes,4,school_bus,< 5,87,93,91
male,group C,some college,standard,none,married,sometimes,yes,0,school_bus,05-Oct,76,78,75
female,group B,associate's degree,standard,none,married,regularly,yes,1,school_bus,05-Oct,73,84,79
female,group B,some college,standard,completed,widowed,never,no,1,private,05-Oct,85,93,89
male,group B,some college,free/reduced,none,married,sometimes,yes,1,private,> 10,41,43,39
male,group D,high school,free/reduced,completed,single,sometimes,no,3,private,> 10,65,64,68
male,group D,associate's degree,standard,none,divorced,sometimes,yes,1,school_bus,05-Oct,40,52,43
female,group B,high school,standard,none,married,regularly,no,1,private,05-Oct,66,82,74
male,group A,some college,standard,completed,single,sometimes,yes,1,private,> 10,80,73,71
female,group A,master's degree,standard,none,divorced,sometimes,yes,2,private,< 5,48,53,58
female,group B,some high school,free/reduced,none,divorced,sometimes,yes,1,school_bus,05-Oct,18,32,28
male,group C,master's degree,free/reduced,completed,single,sometimes,no,1,private,05-Oct,46,42,47
female,group C,associate's degree,free/reduced,none,married,never,yes,3,private,< 5,50,56,58
male,group D,high school,standard,none,married,sometimes,yes,5,school_bus,05-Oct,66,69,63
female,group B,some college,free/reduced,completed,married,sometimes,no,2,school_bus,05-Oct,65,75,70
male,group A,master's degree,free/reduced,none,married,regularly,yes,1,school_bus,05-Oct,75,76,76
male,group B,some college,standard,none,married,sometimes,yes,5,school_bus,< 5,66,53,53
female,group C,bachelor's degree,standard,none,married,sometimes,yes,4,school_bus,> 10,69,70,76
male,group C,high school,standard,none,married,sometimes,no,1,private,05-Oct,70,70,65
female,group D,some college,standard,none,single,sometimes,yes,0,private,< 5,66,72,72
female,group E,master's degree,free/reduced,none,divorced,sometimes,yes,1,school_bus,05-Oct,56,73,66
female,group D,associate's degree,standard,none,married,regularly,no,2,private,05-Oct,76,82,85
female,group D,some high school,free/reduced,none,married,regularly,yes,1,private,05-Oct,51,64,60
female,group D,associate's degree,free/reduced,completed,married,regularly,no,1,school_bus,05-Oct,77,91,90
male,group B,associate's degree,free/reduced,none,single,regularly,yes,5,school_bus,05-Oct,58,56,58
male,group C,associate's degree,free/reduced,none,married,never,yes,0,school_bus,05-Oct,53,60,52
female,group E,associate's degree,free/reduced,none,married,sometimes,yes,5,school_bus,< 5,48,55,52
male,group B,associate's degree,standard,none,single,sometimes,yes,3,school_bus,< 5,63,53,55
male,group C,some college,standard,none,divorced,regularly,yes,3,school_bus,> 10,56,45,43
male,group D,high school,standard,none,single,sometimes,yes,2,school_bus,05-Oct,88,78,75
female,group C,high school,free/reduced,none,divorced,sometimes,yes,2,private,05-Oct,33,41,43
female,group E,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,> 10,84,86,87
male,group D,associate's degree,standard,none,single,sometimes,no,2,private,05-Oct,52,55,49
female,group C,some high school,free/reduced,none,single,regularly,yes,3,school_bus,> 10,0,17,10
male,group A,associate's degree,free/reduced,none,married,sometimes,yes,5,private,05-Oct,62,61,55
female,group D,some high school,standard,none,married,sometimes,yes,0,school_bus,05-Oct,59,58,59
male,group B,some high school,standard,none,married,never,yes,1,private,< 5,63,62,58
male,group D,some high school,free/reduced,none,married,sometimes,yes,4,school_bus,05-Oct,45,37,37
female,group C,some college,standard,none,married,regularly,no,3,school_bus,05-Oct,61,73,75
female,group C,associate's degree,standard,none,single,sometimes,yes,3,school_bus,05-Oct,39,64,57
male,group D,some college,standard,completed,divorced,sometimes,yes,3,private,> 10,64,55,64
female,group A,associate's degree,free/reduced,none,single,regularly,yes,1,private,05-Oct,42,51,49
male,group C,some high school,free/reduced,none,divorced,never,yes,3,school_bus,05-Oct,59,56,54
female,group D,some high school,standard,completed,divorced,sometimes,yes,2,school_bus,> 10,62,75,73
female,group E,master's degree,standard,none,divorced,never,yes,1,school_bus,05-Oct,60,68,68
female,group B,associate's degree,standard,none,married,regularly,yes,0,private,> 10,49,50,52
male,group E,associate's degree,standard,none,married,regularly,yes,0,private,05-Oct,74,64,64
female,group C,some college,standard,none,divorced,sometimes,yes,0,private,05-Oct,73,80,82
female,group D,associate's degree,standard,none,single,sometimes,yes,0,private,05-Oct,71,71,74
female,group A,some college,standard,none,divorced,regularly,yes,3,school_bus,< 5,57,69,67
male,group C,associate's degree,free/reduced,completed,married,regularly,no,3,private,> 10,45,46,52
female,group B,some college,standard,none,married,regularly,yes,4,private,05-Oct,81,87,94
male,group B,some high school,standard,completed,married,regularly,yes,5,school_bus,05-Oct,63,65,61
female,group D,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,< 5,64,66,62
male,group B,some college,standard,none,married,sometimes,no,7,school_bus,05-Oct,79,67,67
male,group D,bachelor's degree,standard,completed,single,sometimes,no,1,private,05-Oct,68,74,74
female,group D,associate's degree,standard,none,married,regularly,yes,3,school_bus,05-Oct,87,92,91
male,group B,high school,standard,completed,married,regularly,no,3,school_bus,05-Oct,61,44,48
female,group C,some college,standard,none,married,sometimes,yes,0,school_bus,05-Oct,58,67,72
female,group D,master's degree,standard,none,married,sometimes,no,3,private,05-Oct,87,100,100
female,group B,associate's degree,free/reduced,none,married,sometimes,yes,2,school_bus,05-Oct,52,76,70
female,group B,some high school,standard,none,single,regularly,no,3,school_bus,05-Oct,72,64,73
female,group D,associate's degree,free/reduced,completed,single,sometimes,yes,4,school_bus,> 10,79,90,99
male,group A,associate's degree,standard,none,married,sometimes,yes,0,school_bus,05-Oct,54,53,47
female,group D,some college,standard,none,married,never,yes,1,school_bus,< 5,47,56,51
female,group E,bachelor's degree,standard,completed,married,regularly,yes,3,school_bus,< 5,98,99,100
male,group C,high school,standard,none,married,sometimes,yes,4,private,05-Oct,84,77,74
female,group B,bachelor's degree,free/reduced,none,single,never,no,1,school_bus,05-Oct,72,83,79
female,group D,bachelor's degree,standard,none,married,never,no,2,private,05-Oct,75,80,77
female,group D,some high school,standard,none,single,regularly,yes,0,private,> 10,54,64,63
female,group C,some college,standard,none,divorced,sometimes,no,3,school_bus,05-Oct,55,69,65
female,group C,bachelor's degree,standard,completed,married,never,yes,1,school_bus,05-Oct,76,90,86
male,group B,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,< 5,88,87,90
male,group E,some college,standard,none,single,regularly,no,3,school_bus,< 5,82,79,73
female,group B,high school,standard,none,single,never,yes,2,school_bus,> 10,86,94,85
male,group D,master's degree,standard,none,single,never,yes,2,private,< 5,77,81,72
male,group D,master's degree,standard,none,single,sometimes,no,1,school_bus,< 5,87,84,82
male,group C,some high school,free/reduced,completed,single,regularly,yes,1,private,< 5,52,36,40
male,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,1,private,> 10,76,80,76
male,group B,some high school,standard,completed,divorced,sometimes,yes,1,private,05-Oct,51,54,41
male,group E,high school,standard,none,divorced,sometimes,yes,0,school_bus,< 5,67,54,54
male,group D,some college,standard,completed,married,sometimes,yes,0,private,> 10,73,61,70
female,group D,some high school,standard,none,married,sometimes,no,1,school_bus,05-Oct,76,72,71
female,group C,some college,free/reduced,none,married,regularly,no,2,private,05-Oct,60,62,65
male,group A,high school,standard,none,single,sometimes,no,1,school_bus,05-Oct,57,43,47
male,group D,some college,standard,none,divorced,sometimes,yes,3,private,> 10,90,74,79
female,group C,some college,free/reduced,none,single,regularly,yes,1,school_bus,< 5,21,38,33
female,group D,bachelor's degree,standard,completed,married,sometimes,yes,1,private,< 5,65,73,79
male,group E,associate's degree,free/reduced,completed,married,regularly,no,3,private,05-Oct,100,100,95
male,group A,some high school,standard,completed,married,sometimes,no,2,private,05-Oct,62,67,69
female,group B,associate's degree,standard,completed,single,sometimes,yes,2,school_bus,< 5,57,68,64
female,group C,some college,standard,completed,married,regularly,yes,3,school_bus,< 5,69,88,88
female,group E,high school,free/reduced,completed,married,regularly,yes,1,school_bus,05-Oct,67,75,79
male,group D,associate's degree,free/reduced,none,married,regularly,no,3,school_bus,> 10,70,63,66
male,group B,associate's degree,free/reduced,completed,single,sometimes,yes,2,private,05-Oct,82,78,74
female,group E,some college,free/reduced,completed,married,sometimes,yes,3,school_bus,05-Oct,75,88,85
male,group B,master's degree,free/reduced,none,single,never,no,2,school_bus,05-Oct,48,53,52
male,group C,high school,standard,none,divorced,sometimes,yes,1,school_bus,05-Oct,52,53,49
female,group E,master's degree,standard,none,married,never,yes,3,private,< 5,76,89,86
female,group C,bachelor's degree,standard,completed,married,sometimes,yes,0,school_bus,05-Oct,96,100,100
male,group C,high school,free/reduced,completed,single,sometimes,yes,5,private,05-Oct,53,51,51
